Name,Address,Latitude,Longitude,Types
FooMoo Cafe,"BC Building, level 1/221 Burwood Hwy, Burwood VIC 3125, Australia",-37.849474799999996,145.1146575,"cafe, coffee_shop, breakfast_restaurant, food_store, restaurant, food, point_of_interest, store, establishment"
Domino's Pizza Burwood (VIC),"Unit 3/251-255 Burwood Hwy, Burwood VIC 3125, Australia",-37.8499409,145.1178137,"fast_food_restaurant, dessert_restaurant, pizza_restaurant, meal_delivery, meal_takeaway, food_delivery, restaurant, food, point_of_interest, establishment"
Burwood Hot Pot Buffet,"253C Burwood Hwy, Burwood VIC 3125, Australia",-37.849962000000005,145.11797009999998,"chinese_restaurant, restaurant, food, point_of_interest, establishment"
Maiseen Kong 米線港 ｜Burwood,"253a Burwood Hwy, Burwood VIC 3125, Australia",-37.8500188,145.11789779999998,"restaurant, food, point_of_interest, establishment"
Subway,"251-255 Burwood Hwy Null, Burwood VIC 3125, Australia",-37.849934399999995,145.1177983,"fast_food_restaurant, sandwich_shop, restaurant, food, point_of_interest, establishment"
Xi'an Famous Food,"251/255 Burwood Hwy, Burwood VIC 3125, Australia",-37.8500379,145.1180357,"restaurant, food, point_of_interest, establishment"
Taste Dumpling,"251A Burwood Hwy, Burwood VIC 3125, Australia",-37.8500264,145.11768250000003,"chinese_restaurant, meal_takeaway, restaurant, food, point_of_interest, establishment"
Little Hotpot,"253 Burwood Hwy, Burwood VIC 3125, Australia",-37.84999,145.11791,"chinese_restaurant, restaurant, food, point_of_interest, establishment"
Flame Brothers Kabab & Ice Cream,"251-255 Burwood Hwy, Burwood VIC 3125, Australia",-37.849962000000005,145.11797009999998,"restaurant, food, point_of_interest, establishment"
Ninja Convenience Store,"251/255 Burwood Hwy, Burwood VIC 3125, Australia",-37.8499999,145.1180029,"store, point_of_interest, establishment"
ATG Supermarket 好又来超市,"253d Burwood Hwy, Burwood VIC 3125, Australia",-37.850087699999996,145.1182308,"grocery_store, food_store, store, food, point_of_interest, establishment"
Noda Grill Burwood 后院烧烤,"273 Burwood Hwy, Burwood VIC 3125, Australia",-37.850256,145.1195433,"restaurant, food, point_of_interest, establishment"
Geppetto’s,"279-281 Burwood Hwy, Burwood VIC 3125, Australia",-37.8502474,145.1197872,"italian_restaurant, restaurant, food, point_of_interest, establishment"
PoDian Melbourne 破店 墨尔本,"277 Burwood Hwy, Burwood VIC 3125, Australia",-37.8502785,145.11970069999998,"barbecue_restaurant, restaurant, food, point_of_interest, establishment"
United Petroleum Burwood Hwy,"259 Burwood Hwy, Burwood VIC 3125, Australia",-37.8500581,145.11849809999998,"gas_station, convenience_store, food_store, food, store, point_of_interest, establishment"
